change_id,user_id,change_time,change_type,device_id,ip_addr,country
C00001,U0272,2026-01-02 00:17:00,email,DEV-0272-new,211.120.72.51,KR
C00002,U0013,2026-01-05 09:37:00,password,DEV-0013-0,211.221.114.144,KR
C00003,U0049,2026-01-06 08:53:00,password,DEV-0049-0,211.126.29.197,KR
C00004,U0185,2026-01-07 03:07:00,password,DEV-0185-0,211.185.242.15,KR
C00005,U0208,2026-01-07 06:47:00,email,BOT-6614,45.208.223.61,해외
C00006,U0063,2026-01-07 12:58:00,password,DEV-0063-new,211.99.56.157,KR
C00007,U0146,2026-01-09 15:13:00,password,DEV-0146-0,211.130.114.206,KR
C00008,U0246,2026-01-10 19:28:00,password,DEV-0246-0,211.50.111.87,KR
C00009,U0376,2026-01-11 10:44:00,email,DEV-0376-new,211.149.0.179,KR
C00010,U0003,2026-01-14 22:10:00,email,BOT-4886,45.93.57.60,해외
C00011,U0060,2026-01-15 14:36:00,password,DEV-0060-0,211.135.90.130,KR
C00012,U0193,2026-01-16 03:18:00,email,BOT-7286,45.39.214.209,해외
C00013,U0264,2026-01-16 06:06:00,phone,BOT-4182,45.165.215.93,KR
C00014,U0340,2026-01-16 23:30:00,email,BOT-7965,45.28.56.242,해외
C00015,U0166,2026-01-17 13:31:00,password,DEV-0166-0,211.95.36.22,KR
C00016,U0216,2026-01-18 00:40:00,password,DEV-0216-0,211.200.0.200,KR
C00017,U0312,2026-01-19 01:02:00,password,DEV-0312-0,211.118.93.113,KR
C00018,U0396,2026-01-21 09:47:00,password,DEV-0396-0,211.132.141.160,KR
C00019,U0279,2026-01-21 23:19:00,password,DEV-0279-0,211.196.190.67,KR
C00020,U0249,2026-01-25 08:53:00,email,DEV-0249-new,211.22.128.41,해외
C00021,U0213,2026-01-26 00:07:00,password,DEV-0213-new,211.26.175.56,KR
C00022,U0348,2026-01-30 20:36:00,password,DEV-0348-0,211.72.76.199,KR
C00023,U0137,2026-01-31 00:59:00,email,DEV-0137-new,211.223.67.133,KR
C00024,U0310,2026-01-31 09:28:00,password,DEV-0310-0,211.179.205.135,KR
C00025,U0196,2026-01-31 20:02:00,password,DEV-0196-0,211.109.132.79,KR
C00026,U0270,2026-02-02 07:30:00,email,BOT-6604,45.15.217.88,해외
C00027,U0346,2026-02-03 16:35:00,password,DEV-0346-0,211.95.37.126,KR
C00028,U0349,2026-02-04 00:22:00,password,DEV-0349-0,211.24.140.99,KR
C00029,U0387,2026-02-04 17:33:00,password,DEV-0387-new,211.235.40.59,해외
C00030,U0027,2026-02-10 00:55:00,password,DEV-0027-0,211.109.150.90,KR
C00031,U0066,2026-02-11 18:33:00,phone,DEV-0066-new,211.239.165.251,KR
C00032,U0155,2026-02-12 13:25:00,password,DEV-0155-new,211.194.153.168,KR
C00033,U0078,2026-02-15 07:21:00,password,DEV-0078-0,211.134.218.99,KR
C00034,U0054,2026-02-17 00:03:00,phone,DEV-0054-new,211.161.12.197,KR
C00035,U0033,2026-02-17 12:20:00,email,DEV-0033-new,211.106.41.104,KR
C00036,U0347,2026-02-18 21:41:00,password,DEV-0347-0,211.100.33.249,KR
C00037,U0392,2026-02-19 09:22:00,password,DEV-0392-0,211.210.109.5,KR
