login_id,user_id,login_time,ip_addr,device_id,os_version,country,login_success,is_attack_ip,is_account_takeover
L000001,U0075,2026-01-01 07:35:00,211.93.211.28,DEV-0075-0,iOS 16.6,KR,1,0,0
L000002,U0109,2026-01-01 07:52:00,211.7.184.60,DEV-0109-0,iOS 17.4,KR,1,0,0
L000003,U0293,2026-01-01 08:14:00,211.161.6.20,DEV-0293-1,Android 13,KR,1,0,0
L000004,U0144,2026-01-01 09:06:00,211.191.44.71,DEV-0144-0,Android 13,KR,1,0,0
L000005,U0027,2026-01-01 09:11:00,211.109.150.90,DEV-0027-0,Android 13,KR,1,0,0
L000006,U0232,2026-01-01 10:05:00,211.150.40.163,DEV-0232-1,Windows 11,KR,1,0,0
L000007,U0205,2026-01-01 11:01:00,211.43.202.219,DEV-0205-1,macOS 14,KR,1,0,0
L000008,U0348,2026-01-01 11:23:00,211.72.76.199,DEV-0348-1,iOS 17.4,KR,1,0,0
L000009,U0216,2026-01-01 11:58:00,211.200.0.200,DEV-0216-1,macOS 14,KR,1,0,0
L000010,U0259,2026-01-01 12:29:00,211.41.91.188,DEV-0259-0,Android 14,KR,1,0,0
L000011,U0302,2026-01-01 12:39:00,211.143.12.50,DEV-0302-0,iOS 16.6,KR,1,0,0
L000012,U0159,2026-01-01 15:31:00,121.92.156.115,DEV-0159-1,Android 13,KR,1,0,0
L000013,U0045,2026-01-01 16:11:00,211.72.211.105,DEV-0045-0,macOS 14,KR,1,0,0
L000014,U0168,2026-01-01 16:25:00,211.30.41.140,DEV-0168-0,Android 13,KR,1,0,0
L000015,U0131,2026-01-01 16:29:00,211.185.188.115,DEV-0131-new,Android 14,KR,1,0,0
L000016,U0072,2026-01-01 16:50:00,211.68.242.78,DEV-0072-0,Windows 11,KR,1,0,0
L000017,U0203,2026-01-01 16:58:00,211.33.115.247,DEV-0203-1,Android 13,KR,1,0,0
L000018,U0187,2026-01-01 17:12:00,211.62.206.175,DEV-0187-new,Android 14,KR,1,0,0
L000019,U0006,2026-01-01 17:35:00,211.155.80.72,DEV-0006-0,iOS 16.6,KR,1,0,0
L000020,U0001,2026-01-01 18:12:00,211.147.119.132,DEV-0001-0,iOS 16.6,KR,1,0,0
