transaction_id,user_id,transaction_time,date,hour,dayofweek,amount,merchant_category,channel,device_type,location,is_new_device,is_foreign_ip,retry_count,merchant_risk,risk_score,status,is_fraud
T000001,U0016,2026-04-25 00:49:00,2026-04-25,0,5,419900,투자,해외결제,ATM,대구,0,0,5,0.214,42.3,승인,0
T000002,U0232,2026-01-18 15:04:00,2026-01-18,15,6,39200,교육,간편결제,Android,대구,1,0,0,0.479,41.7,승인,0
T000003,U0373,2026-04-16 07:50:00,2026-04-16,7,3,438800,송금,신용카드,Web,해외,0,1,0,0.044,32.2,승인,0
T000004,U0069,2026-05-17 13:55:00,2026-05-17,13,6,40600,교통,신용카드,iOS,경기,0,0,1,0.528,29.8,승인,0
T000005,U0299,2026-05-10 19:50:00,2026-05-10,19,6,136700,송금,체크카드,Android,부산,1,0,3,0.283,51.1,추가인증,0
T000006,U0113,2026-05-19 13:19:00,2026-05-19,13,1,101800,교육,신용카드,Web,대전,0,0,0,0.195,10.8,승인,0
T000007,U0066,2026-05-28 10:35:00,2026-05-28,10,3,119600,카페,계좌이체,Android,부산,0,0,5,0.218,33.0,승인,0
T000008,U0093,2026-01-23 14:31:00,2026-01-23,14,4,175000,해외결제,체크카드,iOS,해외,0,1,2,0.412,45.1,승인,0
T000009,U0279,2026-05-24 14:24:00,2026-05-24,14,6,87800,교육,신용카드,ATM,대구,1,0,1,0.161,27.2,승인,0
T000010,U0274,2026-01-16 07:29:00,2026-01-16,7,4,82900,편의점,해외결제,Web,해외,0,1,0,0.192,41.2,승인,0
T000011,U0127,2026-01-03 19:48:00,2026-01-03,19,5,47000,구독,간편결제,ATM,대구,0,0,0,0.169,6.4,승인,0
T000012,U0211,2026-04-06 14:31:00,2026-04-06,14,0,58400,교육,신용카드,iOS,해외,0,1,1,0.15,33.2,승인,0
T000013,U0124,2026-02-28 23:58:00,2026-02-28,23,5,69800,교통,체크카드,ATM,대구,0,0,0,0.129,15.9,승인,0
T000014,U0271,2026-02-15 16:46:00,2026-02-15,16,6,379200,온라인쇼핑,간편결제,Android,대전,0,0,0,0.071,14.1,승인,0
T000015,U0158,2026-03-24 08:05:00,2026-03-24,8,1,159400,투자,체크카드,iOS,경기,0,0,0,0.28,12.3,승인,0
T000016,U0001,2026-03-13 11:32:00,2026-03-13,11,4,76700,온라인쇼핑,체크카드,iOS,해외,0,0,0,0.433,22.2,승인,0
T000017,U0247,2026-03-01 09:09:00,2026-03-01,9,6,301000,구독,계좌이체,ATM,광주,0,0,2,0.145,16.7,승인,0
T000018,U0157,2026-05-06 08:44:00,2026-05-06,8,2,800000,교육,체크카드,ATM,해외,1,0,0,0.193,23.8,승인,0
T000019,U0335,2026-01-24 20:45:00,2026-01-24,20,5,13800,구독,간편결제,Android,경기,1,0,0,0.111,21.0,승인,0
T000020,U0372,2026-02-25 18:11:00,2026-02-25,18,2,527900,송금,계좌이체,Android,해외,0,0,0,0.218,19.1,승인,0
T000021,U0334,2026-02-11 12:02:00,2026-02-11,12,2,59800,온라인쇼핑,체크카드,Web,경기,1,0,0,0.12,32.3,승인,0
T000022,U0390,2026-04-07 18:20:00,2026-04-07,18,1,64000,편의점,해외결제,iOS,대전,0,0,0,0.201,17.7,승인,0
T000023,U0014,2026-03-15 20:40:00,2026-03-15,20,6,136800,해외결제,계좌이체,ATM,해외,0,1,0,0.481,46.6,거절,0
T000024,U0227,2026-04-01 23:07:00,2026-04-01,23,2,38300,카페,간편결제,ATM,광주,0,0,0,0.234,19.6,승인,0
T000025,U0202,2026-03-20 11:37:00,2026-03-20,11,4,45800,구독,계좌이체,ATM,서울,0,0,1,0.059,13.5,승인,0
T000026,U0043,2026-03-14 01:35:00,2026-03-14,1,5,328200,편의점,계좌이체,ATM,해외,0,1,0,0.078,48.1,승인,0
T000027,U0346,2026-05-10 20:25:00,2026-05-10,20,6,130000,해외결제,계좌이체,iOS,해외,0,1,0,0.598,48.2,승인,0
T000028,U0217,2026-04-21 17:19:00,2026-04-21,17,1,127200,해외결제,계좌이체,ATM,해외,0,1,0,0.228,37.6,승인,0
T000029,U0114,2026-05-05 18:20:00,2026-05-05,18,1,38100,구독,계좌이체,iOS,광주,0,0,1,0.151,6.5,승인,0
T000030,U0349,2026-03-04 06:57:00,2026-03-04,6,2,196600,카페,신용카드,ATM,해외,0,0,0,0.233,11.4,보류,0
T000031,U0128,2026-04-25 20:36:00,2026-04-25,20,5,154700,송금,체크카드,iOS,서울,0,0,0,0.336,15.2,승인,0
T000032,U0106,2026-01-07 01:40:00,2026-01-07,1,2,107900,구독,신용카드,Web,광주,0,0,0,0.235,32.2,승인,0
T000033,U0168,2026-03-10 14:32:00,2026-03-10,14,1,75700,해외결제,계좌이체,Android,해외,0,1,2,0.439,47.4,승인,0
T000034,U0383,2026-05-11 06:48:00,2026-05-11,6,0,201900,편의점,해외결제,Web,해외,0,0,0,0.097,4.3,승인,0
T000035,U0379,2026-01-11 14:02:00,2026-01-11,14,6,82800,온라인쇼핑,체크카드,Android,서울,0,0,0,0.156,16.8,승인,0
T000036,U0216,2026-04-08 23:18:00,2026-04-08,23,2,548200,투자,계좌이체,ATM,광주,0,0,0,0.312,14.7,추가인증,0
T000037,U0260,2026-03-26 17:53:00,2026-03-26,17,3,51100,편의점,계좌이체,ATM,대전,0,0,0,0.242,16.8,승인,0
